Constituents,Symbol,Macro-Economic Sector
Inox Renewable Solutions Limited,544836,-
Inox Wind Limited,539083,Industrials
INSECTICIDES (INDIA) LTD.,532851,Commodities
INTELLECT DESIGN ARENA LIMITED,538835,Information Technology
InterGlobe Aviation Limited,539448,Services
International Gemological Inst,544311,Services
INVENTURUS KNOWLEDGE SOLUTIONS,544309,Information Technology
IOL CHEMICALS & PHARMACEUTICAL,524164,Healthcare
ION EXCHANGE (INDIA) LTD.,500214,Utilities
IPCA LABORATORIES LTD.,524494,Healthcare
IRB INFRASTRUCTURE DEVELOPERS,532947,Industrials
IRCON International Ltd,541956,Industrials
ISGEC HEAVY ENGINEERING LTD.,533033,Industrials
ITC Hotels Limited,544325,Consumer Discretionary
ITC LTD.,500875,Fast Moving Consumer Goods
ITI LTD.,523610,Telecommunication
J.K.CEMENT LTD.,532644,Commodities
J.KUMAR INFRAPROJECTS LTD.,532940,Industrials
JAI BALAJI INDUSTRIES LTD.,532976,Commodities
JAI CORP LTD.,512237,Industrials
JAIN IRRIGATION SYSTEMS LTD.,500219,Industrials
Jain Resource Recycling Limite,544537,Commodities
JAIPRAKASH POWER VENTURES LIMI,532627,Utilities
JAMMU & KASHMIR BANK LTD.,532209,Financial Services
JAMNA AUTO INDUSTRIES LTD.,520051,Consumer Discretionary
JANA SMALL FINANCE BANK LIMITE,544118,Financial Services
JAYASWAL NECO INDUSTRIES LTD.,522285,Industrials
JBM AUTO LTD.,532605,Consumer Discretionary
JINDAL POLY FILMS LIMITED,500227,Industrials
JINDAL SAW LTD.,500378,Industrials
JINDAL STAINLESS LTD.,532508,Commodities
JINDAL STEEL LIMITED,532286,Commodities
JINDAL WORLDWIDE LTD.,531543,Consumer Discretionary
Jio Financial Services Limited,543940,Financial Services
JK LAKSHMI CEMENT LTD.,500380,Commodities
JK PAPER LTD.,532162,Commodities
JK TYRE & INDUSTRIES LTD.,530007,Consumer Discretionary
JM FINANCIAL LTD.,523405,Financial Services
JSW CEMENT LIMITED,544480,Commodities
JSW Dulux Limited,500710,Consumer Discretionary
